comparison,false_positive_rate,true_positive_rate,auc
same_recording_split_halves,0.011488899,0.19298246,0.88157418
same_recording_split_halves,0.011644155,0.19298246,0.88157418
same_recording_split_halves,0.01179941,0.19298246,0.88157418
same_recording_split_halves,0.011954665,0.19298246,0.88157418
same_recording_split_halves,0.012109921,0.19298246,0.88157418
same_recording_split_halves,0.012265176,0.19298246,0.88157418
same_recording_split_halves,0.012420432,0.19298246,0.88157418
same_recording_split_halves,0.012575687,0.19298246,0.88157418
same_recording_split_halves,0.012730942,0.19298246,0.88157418
same_recording_split_halves,0.012886198,0.19298246,0.88157418
same_recording_split_halves,0.013041453,0.19298246,0.88157418
same_recording_split_halves,0.013196709,0.19298246,0.88157418
same_recording_split_halves,0.013351964,0.19298246,0.88157418
same_recording_split_halves,0.013507219,0.19298246,0.88157418
same_recording_split_halves,0.013662475,0.19298246,0.88157418
same_recording_split_halves,0.01381773,0.19298246,0.88157418
same_recording_split_halves,0.013972986,0.19298246,0.88157418
same_recording_split_halves,0.014128241,0.19298246,0.88157418
same_recording_split_halves,0.014283496,0.19298246,0.88157418
same_recording_split_halves,0.014438752,0.19298246,0.88157418
same_recording_split_halves,0.014594007,0.19298246,0.88157418
same_recording_split_halves,0.014749263,0.19298246,0.88157418
same_recording_split_halves,0.014904518,0.19298246,0.88157418
same_recording_split_halves,0.015059773,0.19298246,0.88157418
same_recording_split_halves,0.015059773,0.20175439,0.88157418
same_recording_split_halves,0.015215029,0.20175439,0.88157418
same_recording_split_halves,0.015370284,0.20175439,0.88157418
same_recording_split_halves,0.015370284,0.21052632,0.88157418
same_recording_split_halves,0.01552554,0.21052632,0.88157418
same_recording_split_halves,0.015680795,0.21052632,0.88157418
same_recording_split_halves,0.01583605,0.21052632,0.88157418
same_recording_split_halves,0.015991306,0.21052632,0.88157418
same_recording_split_halves,0.016146561,0.21052632,0.88157418
same_recording_split_halves,0.016301816,0.21052632,0.88157418
same_recording_split_halves,0.016457072,0.21052632,0.88157418
same_recording_split_halves,0.016612327,0.21052632,0.88157418
same_recording_split_halves,0.016767583,0.21052632,0.88157418
same_recording_split_halves,0.016922838,0.21052632,0.88157418
same_recording_split_halves,0.017078093,0.21052632,0.88157418
same_recording_split_halves,0.017078093,0.21929825,0.88157418
same_recording_split_halves,0.017233349,0.21929825,0.88157418
same_recording_split_halves,0.017233349,0.22807018,0.88157418
same_recording_split_halves,0.017388604,0.22807018,0.88157418
same_recording_split_halves,0.01754386,0.22807018,0.88157418
same_recording_split_halves,0.017699115,0.22807018,0.88157418
same_recording_split_halves,0.01785437,0.22807018,0.88157418
same_recording_split_halves,0.018009626,0.22807018,0.88157418
same_recording_split_halves,0.018164881,0.22807018,0.88157418
same_recording_split_halves,0.018320137,0.22807018,0.88157418
same_recording_split_halves,0.018475392,0.22807018,0.88157418
same_recording_split_halves,0.018630647,0.22807018,0.88157418
same_recording_split_halves,0.018785903,0.22807018,0.88157418
same_recording_split_halves,0.018941158,0.22807018,0.88157418
same_recording_split_halves,0.019096414,0.22807018,0.88157418
same_recording_split_halves,0.019251669,0.22807018,0.88157418
same_recording_split_halves,0.019406924,0.22807018,0.88157418
same_recording_split_halves,0.01956218,0.22807018,0.88157418
same_recording_split_halves,0.019717435,0.22807018,0.88157418
same_recording_split_halves,0.019872691,0.22807018,0.88157418
same_recording_split_halves,0.020027946,0.22807018,0.88157418
same_recording_split_halves,0.020183201,0.22807018,0.88157418
same_recording_split_halves,0.020338457,0.22807018,0.88157418
same_recording_split_halves,0.020493712,0.22807018,0.88157418
same_recording_split_halves,0.020648968,0.22807018,0.88157418
