Characteristic,Age,Log modeled onset-response rate (post-first-onset hours),Early boundary,Peak lag,Peak multiplier,40–70 s multiplier,Split-half residual correlation
Age,0,3.2697083e-05,0.12284659,0.45876538,0.00049745844,0.19012874,0.0028286216
Log modeled onset-response rate (post-first-onset hours),3.2697083e-05,0,0.27718314,0.59930608,1.431709e-15,0.0058081562,0.0013189814
Early boundary,0.12284659,0.27718314,0,2.7706267e-13,0.060776658,0.2329584,0.073665752
Peak lag,0.45876538,0.59930608,2.7706267e-13,0,0.10816507,0.6688461,0.55587305
Peak multiplier,0.00049745844,1.431709e-15,0.060776658,0.10816507,0,0.030660022,5.7974442e-05
40–70 s multiplier,0.19012874,0.0058081562,0.2329584,0.6688461,0.030660022,0,0.091073592
Split-half residual correlation,0.0028286216,0.0013189814,0.073665752,0.55587305,5.7974442e-05,0.091073592,0
