Characteristic,Age,Log modeled onset-response rate (post-first-onset hours),Early boundary,Peak lag,Peak multiplier,40–70 s multiplier,Split-half residual correlation
Age,114,114,114,114,114,114,114
Log modeled onset-response rate (post-first-onset hours),114,114,114,114,114,114,114
Early boundary,114,114,114,114,114,114,114
Peak lag,114,114,114,114,114,114,114
Peak multiplier,114,114,114,114,114,114,114
40–70 s multiplier,114,114,114,114,114,114,114
Split-half residual correlation,114,114,114,114,114,114,114
