Characteristic,Age,Log modeled onset-response rate (post-first-onset hours),Early boundary,Peak lag,Peak multiplier,40–70 s multiplier,Split-half residual correlation
Age,0,0.00022887958,0.18426989,0.53522628,0.0020893254,0.26618023,0.0084858648
Log modeled onset-response rate (post-first-onset hours),0.00022887958,0,0.34240271,0.62927139,3.0065889e-14,0.01524641,0.0046164348
Early boundary,0.18426989,0.34240271,0,2.9091581e-12,0.12763098,0.3057579,0.14063462
Peak lag,0.53522628,0.62927139,2.9091581e-12,0,0.17472819,0.6688461,0.614386
Peak multiplier,0.0020893254,3.0065889e-14,0.12763098,0.17472819,0,0.071540052,0.00030436582
40–70 s multiplier,0.26618023,0.01524641,0.3057579,0.6688461,0.071540052,0,0.15937879
Split-half residual correlation,0.0084858648,0.0046164348,0.14063462,0.614386,0.00030436582,0.15937879,0
